Designator,Mid X,Mid Y,Layer,Rotation
B1, 9.53,100.08,Bottom,0.0
C1, 3.18,85.60,Bottom,270.0
C2, 3.18,92.58,Bottom,270.0
C3, 2.67,60.20,Bottom,0.0
C5, 8.76,89.79,Bottom,90.0
C6,16.13,85.60,Bottom,0.0
C7,10.79,62.23,Bottom,0.0
C8, 9.53,72.52,Bottom,0.0
C9,16.38,80.77,Bottom,0.0
C10,16.38,72.90,Bottom,0.0
C11, 2.54,76.96,Bottom,180.0
C12, 2.54,78.99,Bottom,180.0
D1, 4.83,19.10,Bottom,90.0
D2, 4.83,31.50,Bottom,90.0
D3,14.22,31.50,Bottom,270.0
D4,11.05, 6.83,Bottom,180.0
D5, 4.06,74.80,Bottom,180.0
FD1, 1.52,107.70,Bottom,180.0
FD2,17.53,107.70,Bottom,180.0
FD3, 1.52, 1.52,Bottom,180.0
IC1, 9.40,79.38,Bottom,180.0
IC2, 2.67,63.18,Bottom,270.0
IC3,14.99,91.06,Bottom,180.0
IC4, 9.53,67.31,Bottom,180.0
R1, 8.00, 2.67,Bottom,90.0
R2,16.38,83.19,Bottom,180.0
R3,11.05, 2.67,Bottom,90.0
R4,10.48,57.15,Bottom,180.0
R5,13.21,28.70,Bottom,180.0
R6,13.27,44.32,Bottom,0.0
R7, 5.84,28.70,Bottom,180.0
R8, 5.78,44.32,Bottom,180.0
R9, 1.78,71.25,Bottom,90.0
R10,15.49,61.21,Bottom,180.0
R11, 6.86,62.23,Bottom,0.0
R12,15.49,58.04,Bottom,0.0
R13,15.49,64.26,Bottom,0.0
R14, 4.95,72.52,Bottom,180.0
R15, 4.95,70.23,Bottom,0.0
R16,17.02,68.83,Bottom,90.0
R17,13.21,71.63,Bottom,90.0
R18,11.94,85.60,Bottom,0.0
Y1,16.76,76.84,Bottom,270.0
